# PROBLEMA
# total_vehiculos, capacidad_vehiculo
10,180

# DEPOSITO
# id, latitud, longitud
DEPOSITO,46.3432,-72.5432

# CLIENTES
# id, latitud, longitud, demanda
C_001,46.3567,-72.5123,15
C_002,46.3289,-72.5678,18
C_003,46.3623,-72.5345,12
C_004,46.3178,-72.5890,22
C_005,46.3712,-72.5012,10
C_006,46.3345,-72.5567,25
C_007,46.3089,-72.5234,14
C_008,46.3478,-72.5789,20
C_009,46.3634,-72.5456,17
C_010,46.3234,-72.5123,23
C_011,46.3756,-72.5678,11
C_012,46.3123,-72.5345,28
C_013,46.3512,-72.5890,13
C_014,46.3378,-72.5012,19
C_015,46.3689,-72.5567,16
C_016,46.3045,-72.5234,24
C_017,46.3545,-72.5789,9
C_018,46.3267,-72.5456,21
C_019,46.3623,-72.5123,15
C_020,46.3189,-72.5678,18
C_021,46.3734,-72.5345,20
C_022,46.3056,-72.5012,14
C_023,46.3412,-72.5567,26
C_024,46.3678,-72.5234,11
C_025,46.3145,-72.5789,30
C_026,46.3589,-72.5456,16
C_027,46.3312,-72.5123,22
C_028,46.3845,-72.5678,8
C_029,46.3234,-72.5345,25
C_030,46.3467,-72.5012,17
C_031,46.3712,-72.5567,13
C_032,46.3089,-72.5234,29
C_033,46.3534,-72.5890,10
C_034,46.3278,-72.5456,23
C_035,46.3645,-72.5123,18
C_036,46.3167,-72.5678,15
C_037,46.3423,-72.5345,27
C_038,46.3756,-72.5012,9
C_039,46.3312,-72.5567,21
C_040,46.3589,-72.5234,16
C_041,46.3834,-72.5890,12
C_042,46.3123,-72.5456,24
C_043,46.3478,-72.5123,19
C_044,46.3712,-72.5678,14
C_045,46.3045,-72.5345,28
C_046,46.3367,-72.5012,11
C_047,46.3623,-72.5567,20
C_048,46.3289,-72.5234,17
C_049,46.3545,-72.5890,22
C_050,46.3178,-72.5456,13
C_051,46.3789,-72.5123,26
C_052,46.3234,-72.5678,10
C_053,46.3512,-72.5345,18
C_054,46.3756,-72.5012,15
C_055,46.3089,-72.5567,23
C_056,46.3434,-72.5234,20
C_057,46.3678,-72.5890,9
C_058,46.3156,-72.5456,27
C_059,46.3423,-72.5123,14
C_060,46.3712,-72.5678,21
C_061,46.3045,-72.5345,16
C_062,46.3367,-72.5012,25
C_063,46.3623,-72.5567,12
C_064,46.3289,-72.5234,19
C_065,46.3534,-72.5890,22
C_066,46.3178,-72.5456,17
C_067,46.3756,-72.5123,11
C_068,46.3312,-72.5678,28
C_069,46.3589,-72.5345,8
C_070,46.3123,-72.5012,24
C_071,46.3445,-72.5567,15
C_072,46.3689,-72.5234,20
C_073,46.3234,-72.5890,18
C_074,46.3512,-72.5456,13
C_075,46.3845,-72.5123,26
C_076,46.3167,-72.5678,10
C_077,46.3423,-72.5345,22
C_078,46.3712,-72.5012,16
C_079,46.3056,-72.5567,29
C_080,46.3378,-72.5234,12
C_081,46.3634,-72.5890,19
C_082,46.3289,-72.5456,23
C_083,46.3545,-72.5123,14
C_084,46.3178,-72.5678,27
C_085,46.3467,-72.5345,11
C_086,46.3712,-72.5012,21
C_087,46.3089,-72.5567,17
C_088,46.3412,-72.5234,24
C_089,46.3756,-72.5890,9
C_090,46.3234,-72.5456,20

# ESTACIONES_DE_CARGA
# id, nombre, latitud, longitud, conectores, tipo_acceso, tipo_instalacion
10001,Borne Trois-Rivières Centre,46.3456,-72.5456,J1772,public,MUNI_GOV
10002,Recharge EV Cap-de-la-Madeleine,46.3712,-72.5123,J1772,public,HOTEL
10003,Station Rapide Trois-Rivières Ouest,46.3178,-72.5890,CHADEMO J1772COMBO,public,CAR_DEALER
10004,Circuit Électrique Shawinigan Sud,46.3845,-72.5345,J1772,public,RETAIL
10005,Borne IGA Trois-Rivières,46.3089,-72.5234,J1772,public,RETAIL
10006,Recharge Hôtel Delta TR,46.3534,-72.5678,J1772,public,HOTEL
10007,Station EV Université UQTR,46.3623,-72.5012,J1772,public,MUNI_GOV
10008,Borne Saint-Louis-de-France,46.3289,-72.5567,J1772,public,RESTAURANT
10009,Circuit Électrique Yamachiche,46.3067,-72.5890,J1772,public,BANK
10010,Station Rapide Bécancour,46.3756,-72.5234,CHADEMO J1772COMBO,public,CAR_DEALER
